HydroID,AvgDepth_m,ResTime
361076,0,0
361187,0,0
361195,0,0
361210,0,0
361226,0,0
361383,0,0
361521,0,0
361734,0,0
361759,2.1,0.249863014
361781,0,0
361971,0,0
362009,0,0
362069,0,0
362070,0,0
362149,0,0
362162,0,0
362174,0,0
362175,0,0
362176,0,0
362200,0,0
362212,0,0
362270,0,0
362311,0,0
362405,0,0
362416,0,0
362426,0,0
362436,0,0
362454,0,0
362484,0,0
362497,0,0
362498,0,0
362499,0,0
362500,0,0
362511,0,0
362520,0,0
362521,0,0
362536,0,0
362537,0,0
362564,0,0
362589,0,0
362599,0,0
362600,0,0
362684,0,0
362685,0,0
362751,0,0
362778,0,0
362779,0,0
362796,0,0
362840,0,0
362855,0,0
362856,0,0
362872,3.9,0.03890411
362985,0,0
362992,0,0
363098,0,0
363116,0,0
363160,4.8,0.055342466
363172,0,0
363216,0,0
363217,0,0
363242,0,0
363243,0,0
363277,0,0
363278,0,0
363279,0,0
363310,0,0
363364,0,0
363365,0,0
363366,0,0
363390,0,0
363414,0,0
363437,0,0
363449,0,0
363478,0,0
363512,0,0
363537,0,0
363555,0,0
363556,0,0
363585,0,0
363596,0,0
363618,0,0
363644,5.3,0.043835616
363687,0,0
363703,0,0
363855,0,0
363873,0,0
363874,0,0
363875,0,0
363876,0,0
363877,0,0
363878,0,0
363904,0,0
363919,0,0
363959,0,0
364026,0,0
364027,0,0
364075,0,0
364076,0,0
364077,0,0
364092,0,0
364130,0,0
364177,0,0
364178,0,0
364197,0,0
364198,5.8,0.007671233
364199,0,0
364251,0,0
364279,0,0
364315,0,0
364334,0,0
364335,0,0
364362,0,0
364372,0,0
364383,0,0
364384,0,0
364385,0,0
364400,0,0
364417,0,0
364418,0,0
364477,0,0
364539,0,0
364634,0,0
364799,0,0
364816,0,0
364817,0,0
364837,0,0
364894,0,0
364918,0,0
364931,0,0
364986,0,0
364987,0,0
364988,0,0
365001,0,0
365042,4.6,0.029041096
365131,0,0
365146,0,0
365184,0,0
365286,0,0
365287,0,0
365305,0,0
365306,0,0
365360,0,0
365457,0,0
365469,0,0
365479,0,0
365569,0,0
365570,0,0
365592,0,0
365637,0,0
365638,0,0
365639,0,0
365673,0,0
365703,0,0
365715,0,0
365716,0,0
365717,0,0
365730,0,0
365752,3.9,0.092876712
365753,0,0
365770,0,0
365874,0,0
365914,0,0
365992,0,0
366026,0,0
366041,0,0
366069,0,0
366070,0,0
366085,0,0
366187,0,0
366336,0,0
366357,0,0
366683,0,0
366751,0,0
366771,0,0
367305,0,0
367700,0,0
367701,0,0
367829,0,0
367830,0,0
367846,0,0
367966,0,0
367967,0,0
368272,0,0
368297,0,0
368429,0,0
368430,0,0
368431,0,0
368447,0,0
368467,0,0
